id|system
0|Системные
1|Сотовая связь
2|Сотовая связь
3|Сотовая связь
4|Закрытые
5|Сервисы ОСМП
6|Сервисы ОСМП
7|Сервисы ОСМП
8|Закрытые
9|Сотовая связь
10|Сервисы ОСМП
11|Сервисы ОСМП
12|Сервисы ОСМП
13|Интернет и телефония
14|Закрытые
15|Сервисы ОСМП
16|Сервисы ОСМП
17|Системные
18|Интернет и телефония
19|Закрытые
20|ТВ
21|Закрытые
22|Сотовая связь
23|Закрытые
24|Закрытые
25|Закрытые
26|Сотовая связь
27|Сотовая связь
28|Сервисы ОСМП
29|Сотовая связь
30|Закрытые
31|ЖКХ
32|Сотовая связь
33|Закрытые
34|Сотовая связь
35|Сотовая связь
36|Сотовая связь
37|Закрытые
38|Сотовая связь
39|Закрытые
40|Сотовая связь
41|Закрытые
42|Сотовая связь
43|Сотовая связь
44|Закрытые
45|Закрытые
46|Сотовая связь
47|Закрытые
48|Закрытые
49|Электронная коммерция
50|Интернет и телефония
51|Сотовая связь
52|Интернет и телефония
53|Закрытые
54|Сотовая связь
55|Сотовая связь
56|Электронная коммерция
57|Закрытые
58|Закрытые
59|Закрытые
60|Интернет и телефония
61|Закрытые
62|Интернет и телефония
63|Закрытые
64|Интернет и телефония
65|Интернет и телефония
66|Интернет и телефония
67|Закрытые
68|Закрытые
69|Закрытые
70|Закрытые
71|Закрытые
72|Закрытые
73|Закрытые
74|Закрытые
75|Закрытые
76|Закрытые
77|Закрытые
78|Сотовая связь
79|Закрытые
80|Закрытые
81|Закрытые
82|Тестовые провайдеры
83|Другие услуги
84|Сотовая связь
85|Сотовая связь
86|Сотовая связь
87|Закрытые
88|Интернет и телефония
89|Закрытые
90|Интернет и телефония
91|Закрытые
92|Интернет и телефония
93|Сотовая связь
94|Закрытые
95|Закрытые
96|Закрытые
97|Закрытые
98|Закрытые
99|Закрытые
100|Закрытые
101|Закрытые
102|Закрытые
103|Интернет и телефония
104|Тестовые провайдеры
105|Сотовая связь
106|Закрытые
107|Сотовая связь
108|Закрытые
109|Закрытые
110|Закрытые
111|Закрытые
112|Интернет и телефония
113|Закрытые
114|Закрытые
115|Закрытые
116|Сотовая связь
117|Закрытые
118|Интернет и телефония
119|Интернет и телефония
120|Интернет и телефония
121|Закрытые
122|Другие услуги
123|Интернет и телефония
124|Закрытые
125|Закрытые
126|Закрытые
127|Закрытые
128|Интернет и телефония
129|Интернет и телефония
130|Закрытые
131|Закрытые
132|Закрытые
133|Интернет и телефония
134|Сотовая связь
135|Интернет и телефония
136|Интернет и телефония
137|Закрытые
138|Закрытые
139|Сотовая связь
140|Закрытые
141|Интернет и телефония
142|Сотовая связь
143|Интернет и телефония
144|Сотовая связь
145|Закрытые
146|Закрытые
147|Сотовая связь
148|Закрытые
149|Тестовые провайдеры
150|Тестовые провайдеры
151|Тестовые провайдеры
152|Тестовые провайдеры
153|Тестовые провайдеры
154|Закрытые
155|Закрытые
156|Закрытые
157|Интернет и телефония
158|Сотовая связь
159|Закрытые
160|Закрытые
161|Интернет и телефония
162|Закрытые
163|Интернет и телефония
164|Закрытые
165|Интернет и телефония
166|Сотовая связь
167|Интернет и телефония
168|Закрытые
169|Сотовая связь
170|Закрытые
171|Закрытые
172|Закрытые
173|Сотовая связь
174|Интернет и телефония
175|Закрытые
176|Закрытые
177|Закрытые
178|Интернет и телефония
179|Другие услуги
180|Закрытые
181|Закрытые
182|Закрытые
183|Интернет и телефония
184|Интернет и телефония
185|Интернет и телефония
186|Закрытые
187|Другие услуги
188|Закрытые
189|Интернет и телефония
190|Сотовая связь
191|Интернет и телефония
192|Сотовая связь
193|Закрытые
194|Закрытые
195|Сотовая связь
196|Закрытые
197|Закрытые
198|Закрытые
199|Электронная коммерция
200|Закрытые
201|Закрытые
202|Интернет и телефония
203|Интернет и телефония
204|Интернет и телефония
205|Закрытые
206|Тестовые провайдеры
207|Интернет и телефония
208|Закрытые
209|Тестовые провайдеры
210|Тестовые провайдеры
211|Интернет и телефония
212|Закрытые
213|Закрытые
214|Закрытые
215|Интернет и телефония
216|Закрытые
217|Закрытые
218|Закрытые
219|Закрытые
220|Закрытые
221|Закрытые
222|Закрытые
223|Закрытые
224|Закрытые
225|Закрытые
226|Закрытые
227|Закрытые
228|Закрытые
229|Закрытые
230|Интернет и телефония
231|Интернет и телефония
232|Закрытые
233|Сотовая связь
234|Закрытые
235|Интернет и телефония
236|Закрытые
237|Закрытые
238|Закрытые
239|Закрытые
240|Сотовая связь
241|Закрытые
242|Закрытые
243|Тестовые провайдеры
244|Сотовая связь
245|Интернет и телефония
246|Закрытые
247|Закрытые
248|Интернет и телефония
249|Закрытые
250|Интернет и телефония
251|Интернет и телефония
252|Интернет и телефония
253|Закрытые
254|Интернет и телефония
255|Закрытые
256|Закрытые
257|Интернет и телефония
258|Закрытые
259|Другие услуги
260|Интернет и телефония
261|Сотовая связь
262|Интернет и телефония
263|ТВ
264|Погашение кредитов, услуги банков
265|ЖКХ
266|Закрытые
267|Закрытые
268|Интернет и телефония
269|Интернет и телефония
270|Другие услуги
271|Интернет и телефония
272|Интернет и телефония
273|Закрытые
274|Закрытые
275|Интернет и телефония
276|Интернет и телефония
277|Интернет и телефония
278|Закрытые
279|Сотовая связь
280|Закрытые
281|Закрытые
282|Закрытые
283|Закрытые
284|Интернет и телефония
285|Интернет и телефония
286|Интернет и телефония
287|Закрытые
288|Закрытые
289|Сотовая связь
290|Закрытые
291|Закрытые
292|Закрытые
293|Интернет и телефония
294|Интернет и телефония
295|Закрытые
296|Сотовая связь
297|Интернет и телефония
298|Закрытые
299|Интернет и телефония
300|Закрытые
301|Сотовая связь
302|Сотовая связь
303|Закрытые
304|Закрытые
